2.159497266082096266e-03,2.159491598380427167e-03,2.159486882304445174e-03,2.159483076271001036e-03,2.159479867310196925e-03,2.154230730804932662e-03,2.154228550716555911e-03,2.154226720727520604e-03,2.154225092998630561e-03,2.154223836628096911e-03,2.154222761860009015e-03,2.154221860385079155e-03
2.164994171522265955e-03,2.159740439390592757e-03,2.159735186278564489e-03,2.159731097143479696e-03,2.159727810648925331e-03,2.159725089347000644e-03,2.159722916987440178e-03,2.159721120140494638e-03,2.159719750308856760e-03,2.154471420534489860e-03,2.154470476035207256e-03,2.154469687836225045e-03
2.165255127539965178e-03,2.165247727151844298e-03,2.159994285163853618e-03,2.159989953108397507e-03,2.159986563318233663e-03,2.159983842483471743e-03,2.159981749862838109e-03,2.159980106758381795e-03,2.159978770034923744e-03,2.159977705446005421e-03,2.159976841604510991e-03,2.159976165693632509e-03
2.170774941085665873e-03,2.165518276878246415e-03,2.165512311078803421e-03,2.165507810683276694e-03,2.165504402855739606e-03,2.160253370554420047e-03,2.160251351423678103e-03,2.160249790426890977e-03,2.160248558300510886e-03,2.160247649312769472e-03,2.160246903032005724e-03,2.160246293971096378e-03
2.176306154652767402e-03,2.171048346263846664e-03,2.171042122094760281e-03,2.171037562860553532e-03,2.165784942048763241e-03,2.165782415477573997e-03,2.165780482779904557e-03,2.165779066617630737e-03,2.165777977435100112e-03,2.165777116962482908e-03,2.165776451864115902e-03,2.165775997687805626e-03
2.181848608638242790e-03,2.176589631897760720e-03,2.176583168581480536e-03,2.171328653307060506e-03,2.171325267631995549e-03,2.171322836172142647e-03,2.171320990691387887e-03,2.171319575393671191e-03,2.171318583694028647e-03,2.171317800335806174e-03,2.171317229940350046e-03,2.171316766214662422e-03
2.187611983391452800e-03,2.182351495762915004e-03,2.182344885997537613e-03,2.177089136241413224e-03,2.177085765031535995e-03,2.177083294366731307e-03,2.177081531239198446e-03,2.177080234118727083e-03,2.177079201775961991e-03,2.177078500267137003e-03,2.177077928381698259e-03,2.177077551152235314e-03
2.193386114276135290e-03,2.188123976075525678e-03,2.188117257477070754e-03,2.188112490433805849e-03,2.182856783311374043e-03,2.182854386676702507e-03,2.182852633824664511e-03,2.182851376102467721e-03,2.182850465697721339e-03,2.182849777530460316e-03,2.182849272487333205e-03,2.182848871740813469e-03
2.199172907000552027e-03,2.199162659354321307e-03,2.193902133187183683e-03,2.193897364392399709e-03,2.193894021929264880e-03,2.193891702140667119e-03,2.193889925610550094e-03,2.193888749907071944e-03,2.193887850806761249e-03,2.193887231570518237e-03,2.193886747219045245e-03,2.193886378557765790e-03
2.210226341203598392e-03,2.204960584531112482e-03,2.204953469098186892e-03,2.199693785719764819e-03,2.199690455987496265e-03,2.199688090809028690e-03,2.199686432706356599e-03,2.199685279443672030e-03,2.199684396577130004e-03,2.199683775100310778e-03,2.199683345011310773e-03,2.199683013584948724e-03
